Date,Open,High,Low,Close,Adj Close,Volume
2015-08-24,31600.000000,32350.000000,30300.000000,31050.000000,28996.462891,8593829
2015-08-25,31300.000000,33950.000000,31300.000000,33500.000000,31284.429688,11821629
2015-08-26,33500.000000,34200.000000,32850.000000,33450.000000,31237.736328,6534943
2015-08-27,34200.000000,35500.000000,34150.000000,35500.000000,33152.152344,7063277
2015-08-28,36550.000000,37700.000000,36300.000000,36900.000000,34459.566406,7382006
2015-08-31,36850.000000,36850.000000,35650.000000,35800.000000,33432.312500,4408499
2015-09-01,35150.000000,35450.000000,34200.000000,34400.000000,32124.906250,6442285
2015-09-02,33500.000000,34600.000000,33350.000000,34350.000000,32078.210938,4161070
2015-09-03,34350.000000,35700.000000,34350.000000,35400.000000,33058.765625,4222565
2015-09-04,35400.000000,35950.000000,34650.000000,34850.000000,32545.148438,2437386
2015-09-07,34800.000000,35100.000000,34300.000000,34750.000000,32451.757813,1624613
2015-09-08,35000.000000,35100.000000,34600.000000,34750.000000,32451.757813,1494929
2015-09-09,35800.000000,36500.000000,35650.000000,36000.000000,33619.089844,3035809
2015-09-10,35400.000000,35950.000000,35400.000000,35950.000000,33572.394531,3079224
2015-09-11,35450.000000,35750.000000,35000.000000,35000.000000,32685.222656,3242067
2015-09-14,35300.000000,35450.000000,34350.000000,34600.000000,32311.679688,2163452
2015-09-15,34500.000000,34600.000000,33350.000000,33600.000000,31377.816406,3880824
2015-09-16,33800.000000,35350.000000,33800.000000,35100.000000,32778.609375,3876376
2015-09-17,35750.000000,36450.000000,35350.000000,36150.000000,33759.164063,4734065
2015-09-18,36400.000000,36450.000000,35450.000000,35750.000000,33385.625000,3267741
2015-09-21,35200.000000,35250.000000,34700.000000,34800.000000,32498.453125,2538367
2015-09-22,34900.000000,35150.000000,34700.000000,34900.000000,32591.835938,2004067
2015-09-23,34500.000000,35250.000000,34350.000000,34700.000000,32405.062500,1641929
2015-09-24,34900.000000,34950.000000,33600.000000,33850.000000,31611.279297,4172759
2015-09-25,33750.000000,34400.000000,33400.000000,34350.000000,32078.210938,2813254
2015-09-30,33700.000000,33800.000000,33350.000000,33550.000000,31331.123047,4158644
2015-10-01,33750.000000,33950.000000,33500.000000,33700.000000,31471.201172,3667742
2015-10-02,34200.000000,34750.000000,33800.000000,34550.000000,32264.984375,3052650
2015-10-05,35250.000000,35950.000000,35100.000000,35350.000000,33012.074219,4367169
2015-10-06,36300.000000,37200.000000,36250.000000,37200.000000,34739.722656,5944141
2015-10-07,37050.000000,37700.000000,36800.000000,37300.000000,34833.109375,3879936
2015-10-08,38000.000000,38100.000000,36600.000000,37550.000000,35066.574219,3824312
2015-10-12,37550.000000,37550.000000,36700.000000,36850.000000,34412.871094,2519174
2015-10-13,36800.000000,37150.000000,35800.000000,36000.000000,33619.089844,2961513
2015-10-14,36300.000000,37050.000000,35900.000000,36400.000000,33992.632813,3720738
2015-10-15,35950.000000,36800.000000,35850.000000,36750.000000,34319.484375,2943506
2015-10-16,36900.000000,37050.000000,36000.000000,36100.000000,33712.476563,1899386
2015-10-19,36150.000000,36200.000000,35600.000000,35750.000000,33385.625000,1967828
2015-10-20,36000.000000,36150.000000,35250.000000,35700.000000,33338.929688,2686193
2015-10-21,35000.000000,35000.000000,33600.000000,33650.000000,31424.505859,9957394
2015-10-22,33200.000000,33450.000000,31850.000000,31950.000000,29836.939453,10914420
2015-10-23,32400.000000,32950.000000,32050.000000,32100.000000,29977.021484,6341772
2015-10-26,32350.000000,33100.000000,32300.000000,32900.000000,30724.109375,3326112
2015-10-27,32100.000000,32650.000000,32050.000000,32150.000000,30023.712891,3535671
2015-10-28,32150.000000,32450.000000,31400.000000,31450.000000,29370.007813,4322506
2015-10-29,31700.000000,32150.000000,31300.000000,31450.000000,29370.007813,4273016
