지표선택별,경제심리지수
2003. 01,100.1
2003. 02,101.5
2003. 03,90.3
2003. 04,96.7
2003. 05,94.6
2003. 06,91
2003. 07,90.6
2003. 08,97.8
2003. 09,97.8
2003. 10,97.7
2003. 11,102.2
2003. 12,102.1
2004. 01,105.7
2004. 02,106.8
2004. 03,105.2
2004. 04,108.1
2004. 05,98
2004. 06,95.2
2004. 07,93.8
2004. 08,94.8
2004. 09,96.5
2004. 10,93.9
2004. 11,90.1
2004. 12,88.1
2005. 01,93.6
2005. 02,107.9
2005. 03,110.9
2005. 04,110.5
2005. 05,103.1
2005. 06,101.3
2005. 07,97.9
2005. 08,102.7
2005. 09,106.4
2005. 10,104.9
2005. 11,109.3
2005. 12,112.5
2006. 01,115.5
2006. 02,117.1
2006. 03,118
2006. 04,116.3
2006. 05,109.4
2006. 06,103.9
2006. 07,102.6
2006. 08,105
2006. 09,106.8
2006. 10,109.5
2006. 11,109.6
2006. 12,107.1
2007. 01,105.9
2007. 02,113.1
2007. 03,113.7
2007. 04,115.3
2007. 05,114.6
2007. 06,113.3
2007. 07,115
2007. 08,117.6
2007. 09,116.6
2007. 10,115.2
2007. 11,114.3
2007. 12,111.2
2008. 01,111.5
2008. 02,114.1
2008. 03,106.4
2008. 04,107.9
2008. 05,103.1
2008. 06,97.6
2008. 07,91.8
2008. 08,101
2008. 09,96.5
2008. 10,79.4
2008. 11,66.7
2008. 12,55.5
2009. 01,62.7
2009. 02,65.8
2009. 03,69.3
2009. 04,88.1
2009. 05,93.8
2009. 06,97.5
2009. 07,98.4
2009. 08,108
2009. 09,109.4
2009. 10,112.2
2009. 11,108.2
2009. 12,110.1
2010. 01,113.3
2010. 02,116.9
2010. 03,115.7
2010. 04,117.3
2010. 05,116.4
2010. 06,115.3
2010. 07,115.1
2010. 08,113.7
2010. 09,114.2
2010. 10,111.8
2010. 11,113.2
2010. 12,111.5
2011. 01,111.3
2011. 02,113
2011. 03,109.3
2011. 04,113.1
2011. 05,111.1
2011. 06,107.8
2011. 07,106.9
2011. 08,105.3
2011. 09,105.1
2011. 10,102.9
2011. 11,102.9
2011. 12,98.4
2012. 01,99.6
2012. 02,103.8
2012. 03,105.1
2012. 04,108.9
2012. 05,104.5
2012. 06,99.3
2012. 07,94.5
2012. 08,92.8
2012. 09,91.5
2012. 10,89.3
2012. 11,88.4
2012. 12,89
2013. 01,92.5
2013. 02,94.6
2013. 03,97
2013. 04,96.5
2013. 05,95.8
2013. 06,94.8
2013. 07,94
2013. 08,93.7
2013. 09,94.5
2013. 10,96.2
2013. 11,96.4
2013. 12,96.3
2014. 01,99.1
2014. 02,101.5
2014. 03,99.8
2014. 04,101.3
2014. 05,99.6
2014. 06,95.7
2014. 07,93.6
2014. 08,96
2014. 09,99
2014. 10,93.9
2014. 11,95.6
2014. 12,94.6
2015. 01,96.4
2015. 02,101.5
2015. 03,99.7
2015. 04,102.2
2015. 05,100.5
2015. 06,89.1
2015. 07,93.3
2015. 08,94.9
2015. 09,94.5
2015. 10,95.1
2015. 11,94.9
2015. 12,91.4
2016. 01,91.4
2016. 02,90
2016. 03,91.8
2016. 04,95
2016. 05,92.9
2016. 06,92.6
2016. 07,94
2016. 08,96.2
2016. 09,95.7
2016. 10,94.2
2016. 11,93.7
2016. 12,92
2017. 01,94.2
2017. 02,96.2
2017. 03,98.8
2017. 04,98.4
2017. 05,99.5
2017. 06,98.6
2017. 07,97.7
2017. 08,98.9
2017. 09,97.5
2017. 10,101
2017. 11,101
2017. 12,100.7
2018. 01,98.1
2018. 02,99.8
2018. 03,96.3
2018. 04,98.3
2018. 05,100.7
2018. 06,99
2018. 07,93.7
2018. 08,94.9
2018. 09,97.8
2018. 10,93.2
2018. 11,92.2
2018. 12,92.4
2019. 01,89.8
2019. 02,95.6
2019. 03,94.7
2019. 04,95.8
2019. 05,92.1
2019. 06,92.8
2019. 07,89.6
2019. 08,88.8
2019. 09,91.7
2019. 10,91.1
2019. 11,91.9
2019. 12,92.9
2020. 01,95.7
2020. 02,87.2
2020. 03,63.7
2020. 04,55.7
2020. 05,57.8
2020. 06,63.1
