DATE,EIEI
1995. 02,45.9
1995. 02,52.3
1995. 03,56.6
1995. 03,52.7
1995. 04,53.4
1995. 04,49.4
1995. 05,51.6
1995. 05,47.6
1995. 06,50
1995. 06,47.2
1995. 07,49.6
1995. 07,48.9
1995. 08,47.9
1995. 08,48.7
1995. 09,50.3
1995. 09,49.4
1995. 10,49.4
1995. 10,49
1995. 11,49.3
1995. 11,51.1
1995. 12,52.3
1995. 12,53.6
1996. 01,49.6
1996. 01,56.1
1996. 02,49
1996. 02,55.7
1996. 03,59.8
1996. 03,57
1996. 04,59
1996. 04,54.5
1996. 05,59.7
1996. 05,55
1996. 06,53
1996. 06,50
1996. 07,63
1996. 07,60.8
1996. 08,58.8
1996. 08,59.8
1996. 09,54.7
1996. 09,56.1
1996. 10,60.5
1996. 10,58.9
1996. 11,58.7
1996. 11,60.9
1996. 12,61.5
1996. 12,62.9
1997. 01,50
1997. 01,56.5
1997. 02,46.5
1997. 02,53.8
1997. 03,56.2
1997. 03,53.7
1997. 04,62.4
1997. 04,56.4
1997. 05,60.5
1997. 05,56.9
1997. 06,61.3
1997. 06,57.8
1997. 07,58
1997. 07,55.9
1997. 08,54.9
1997. 08,57
1997. 09,52.7
1997. 09,53.3
1997. 10,53.4
1997. 10,52.1
1997. 11,47.9
1997. 11,50.8
1997. 12,44.9
1997. 12,45.9
1998. 01,34
1998. 01,40.9
1998. 02,36.6
1998. 02,40.2
1998. 03,37
1998. 03,34.6
1998. 04,36.3
1998. 04,32.2
1998. 05,32.6
1998. 05,30.6
1998. 06,31.1
1998. 06,29.3
1998. 07,30.8
1998. 07,29.7
1998. 08,29.4
1998. 08,30.6
1998. 09,34.8
1998. 09,33.3
1998. 10,33.6
1998. 10,34.4
1998. 11,34.5
1998. 11,36.6
1998. 12,34.7
1998. 12,34.7
1999. 01,36
1999. 01,41.1
1999. 02,35.6
1999. 02,41.3
1999. 03,47.2
1999. 03,43.8
1999. 04,47.6
1999. 04,43.2
1999. 05,46.8
1999. 05,45.2
1999. 06,48.6
1999. 06,43.9
1999. 07,49
1999. 07,47.1
1999. 08,47.7
1999. 08,48.6
1999. 09,49.8
1999. 09,51.1
1999. 10,51.9
1999. 10,51.6
1999. 11,56.9
1999. 11,59.3
1999. 12,59
1999. 12,59
2000. 01,55.6
2000. 01,60.2
2000. 02,57.5
2000. 02,62
2000. 03,69.8
2000. 03,62.8
2000. 04,68.6
2000. 04,66.4
2000. 05,64.9
2000. 05,63.4
2000. 06,66.3
2000. 06,61.2
2000. 07,63.1
2000. 07,62
2000. 08,67.5
2000. 08,69.7
2000. 09,60.8
2000. 09,63.3
2000. 10,61.1
2000. 10,63.4
2000. 11,56.7
2000. 11,58.8
2000. 12,55.9
2000. 12,55.7
2001. 01,53.1
2001. 01,60
2001. 02,55.7
2001. 02,58.9
2001. 03,64.9
2001. 03,58.4
2001. 04,61.1
2001. 04,57.9
2001. 05,58.6
2001. 05,55.9
2001. 06,58.7
2001. 06,54.1
2001. 07,57
2001. 07,56.1
2001. 08,52.2
2001. 08,53.9
2001. 09,55.4
2001. 09,55.2
2001. 10,55.4
2001. 10,58.7
2001. 11,55.2
